time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450150000	15.534	19.9153	4.62346	2.66056	0.505927	radar	9.288	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450250000	15.0765	20.1042	4.64324	2.72201	0.516937	radar	1.32269	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450350000	14.5218	20.3798	4.78113	2.7784	0.526883	radar	2.04486	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450450000	14.0247	20.5722	4.83709	2.83776	0.543163	radar	0.559991	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450550000	13.5888	20.6357	4.81507	2.92466	0.606049	radar	1.73443	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450650000	13.1241	20.7745	4.82559	2.9733	0.59432	radar	1.99248	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450750000	12.4715	20.9684	5.0026	3.02198	0.582404	radar	3.30403	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450850000	12.0233	21.0111	4.9693	3.08094	0.58988	radar	1.01205	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450950000	11.5399	20.9834	4.94877	3.1495	0.599361	radar	1.0124	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451050000	10.9914	20.9315	4.98262	3.21817	0.603509	radar	3.61501	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451150000	10.3178	21.0061	5.10215	3.23377	0.527547	radar	4.71666	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451250000	9.81913	20.9899	5.0987	3.27362	0.512542	radar	1.48398	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451350000	9.30639	20.9775	5.07472	3.2851	0.442407	radar	2.2839	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451450000	8.92744	20.8769	4.97649	3.33709	0.455105	radar	2.63382	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451550000	8.69285	20.6445	4.75916	3.41511	0.484913	radar	4.83357	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451650000	8.24437	20.4947	4.77155	3.47235	0.501789	radar	0.168274	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451750000	7.8616	20.3314	4.75746	3.53835	0.537116	radar	3.42633	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451850000	7.37337	20.1506	4.79186	3.58278	0.523645	radar	0.433317	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451950000	6.92995	19.9709	4.78369	3.62005	0.502324	radar	0.507505	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452050000	6.52261	19.7902	4.76447	3.65859	0.491402	radar	2.48642	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452150000	5.96865	19.5492	4.92044	3.70501	0.504577	radar	2.56836	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452250000	5.64544	19.236	4.85323	3.77309	0.517083	radar	0.754786	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452350000	5.35939	18.9911	4.69946	3.80922	0.481933	radar	4.27898	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452450000	4.78554	18.7543	4.87951	3.82067	0.46054	radar	2.91373	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452550000	4.44945	18.4633	4.79802	3.85174	0.428367	radar	1.05277	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452650000	3.9604	18.187	4.98526	3.89357	0.467048	radar	7.87165	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
1477010452750000	3.72271	17.8639	4.82174	3.93603	0.438545	radar	2.9628	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627
1477010452850000	3.22968	17.5507	4.99248	3.95778	0.441673	radar	3.21618	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844
1477010452950000	3.00665	17.1326	4.97931	4.0483	0.49827	radar	1.31417	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302
1477010453050000	2.66221	16.7966	4.87705	4.05666	0.435706	radar	3.10957	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014
1477010453150000	2.17653	16.4216	4.95094	4.04112	0.36869	radar	5.02824	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995
1477010453250000	1.81139	16.0785	4.93766	4.04345	0.327222	radar	0.947954	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261
1477010453350000	1.58594	15.6359	4.97501	4.12412	0.391406	radar	1.64678	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832
1477010453450000	1.18082	15.2691	5.02708	4.119	0.351605	radar	1.69615	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773
1477010453550000	0.90056	14.9069	4.94939	4.12891	0.31375	radar	2.11946	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977
1477010453650000	0.696479	14.4379	4.99626	4.20145	0.367931	radar	1.70883	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598
1477010453750000	0.350932	13.9658	5.19155	4.23622	0.394123	radar	3.46398	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617
1477010453850000	0.117751	13.4946	5.25304	4.28774	0.419931	radar	0.972648	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061
1477010453950000	-0.160257	13.0512	5.21063	4.29301	0.373076	radar	1.26971	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955
1477010454050000	-0.486905	12.582	5.2119	4.27832	0.308574	radar	2.29711	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326
1477010454150000	-0.798175	12.1579	5.21531	4.2677	0.265441	radar	2.22974	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198
1477010454250000	-1.09788	11.6857	5.26082	4.26838	0.24087	radar	0.380608	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598
1477010454350000	-1.23775	11.2157	5.13967	4.2937	0.215549	radar	3.40284	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549
1477010454450000	-1.36684	10.7423	5.14435	4.35254	0.266083	radar	1.29708	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075
1477010454550000	-1.54961	10.2231	5.21401	4.38856	0.284774	radar	0.936122	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198
1477010454650000	-1.68568	9.77008	5.12002	4.41028	0.265565	radar	1.18902	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939
1477010454750000	-1.95611	9.26813	5.2352	4.40402	0.24304	radar	1.89187	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316
1477010454850000	-2.07794	8.82732	5.12	4.42098	0.2203	radar	2.18485	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347
1477010454950000	-2.37081	8.30316	5.24211	4.39424	0.173552	radar	2.13022	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047
1477010455050000	-2.42757	7.90157	5.07642	4.43463	0.189134	radar	6.03931	-2.273	8.52315	-2.45348	7.83617	-1.77248	-4.8843
1477010455150000	-2.76227	7.40158	5.15414	4.36839	0.0852928	radar	4.82022	-3.08256	7.38874	-2.62944	7.34723	-1.74777	-4.89507
1477010455250000	-2.84882	6.95518	5.08012	4.41318	0.131567	radar	1.50274	-2.79412	7.20818	-2.80326	6.85734	-1.72958	-4.90286
1477010455350000	-2.92534	6.51017	4.92272	4.42275	0.0959245	radar	4.58115	-2.57673	6.36755	-2.97559	6.36681	-1.71797	-4.90774
1477010455450000	-3.16905	6.00866	5.05012	4.40535	0.0787147	radar	2.75835	-3.50172	6.10796	-3.14709	5.87592	-1.71297	-4.90976
1477010455550000	-3.35747	5.49675	5.07415	4.38413	0.0269359	radar	2.3693	-3.19736	5.19093	-3.31843	5.38496	-1.71458	-4.90893
1477010455650000	-3.48672	5.0111	5.06535	4.40682	0.0575388	radar	0.371442	-3.4281	4.94644	-3.49026	4.89422	-1.72281	-4.90525
1477010455750000	-3.68868	4.48482	5.1224	4.37675	-0.00653161	radar	3.14355	-3.50501	4.17643	-3.66325	4.40398	-1.73763	-4.89868
1477010455850000	-3.87513	3.99984	5.15046	4.37912	0.00789465	radar	0.782808	-4.06447	4.10977	-3.83806	3.91452	-1.75899	-4.88918
1477010455950000	-4.07446	3.57895	5.08465	4.34967	-0.0467025	radar	2.98234	-4.23729	3.88878	-4.01533	3.42616	-1.78686	-4.87666
1477010456050000	-4.30099	3.04793	5.19893	4.32566	-0.0797543	radar	1.5939	-4.27467	2.88187	-4.19571	2.93919	-1.82113	-4.86104
1477010456150000	-4.48405	2.53248	5.23207	4.33139	-0.0554783	radar	0.706992	-4.38481	2.39989	-4.37985	2.45393	-1.86173	-4.84218
1477010456250000	-4.68352	2.04073	5.25157	4.29882	-0.122097	radar	3.83835	-4.29257	1.92854	-4.56836	1.97072	-1.90853	-4.81994
1477010456350000	-4.92569	1.51869	5.35316	4.27687	-0.142848	radar	0.98606	-4.98165	1.43611	-4.76186	1.48989	-1.9614	-4.79417
1477010456450000	-5.12246	1.06556	5.26174	4.2733	-0.120941	radar	0.957448	-4.98594	1.10894	-4.96095	1.01182	-2.02019	-4.76468
1477010456550000	-5.29448	0.464488	5.41104	4.29542	-0.0781523	radar	6.80707	-4.84736	0.18101	-5.16621	0.536876	-2.08471	-4.73127
1477010456650000	-5.52782	-0.00752332	5.34572	4.30405	-0.0269501	radar	5.36549	-5.99809	-0.290765	-5.3782	0.0654719	-2.15477	-4.69374
1477010456750000	-5.75568	-0.374737	5.17078	4.26949	-0.070408	radar	2.83375	-5.64447	-0.144522	-5.59748	-0.401971	-2.23014	-4.65185
1477010456850000	-5.94672	-0.843883	5.20612	4.24824	-0.116511	radar	6.59114	-5.30947	-0.724468	-5.82456	-0.865006	-2.31058	-4.60536
1477010456950000	-6.10837	-1.40432	5.29456	4.27516	-0.0701385	radar	4.10636	-5.68069	-1.52871	-6.05993	-1.32316	-2.39581	-4.55404
1477010457050000	-6.35839	-1.87661	5.38666	4.23616	-0.140955	radar	4.1869	-6.11355	-1.75966	-6.30406	-1.77593	-2.48555	-4.49762
1477010457150000	-6.65953	-2.28243	5.29939	4.19713	-0.164682	radar	2.4078	-6.99344	-2.17445	-6.55738	-2.22281	-2.57946	-4.43585
1477010457250000	-6.95987	-2.71291	5.29177	4.16333	-0.187427	radar	0.627947	-7.14408	-2.67584	-6.82029	-2.66323	-2.6772	-4.36847
1477010457350000	-7.20939	-3.17601	5.26065	4.16119	-0.160437	radar	0.499071	-7.13937	-3.22028	-7.09316	-3.09663	-2.7784	-4.29523
1477010457450000	-7.48742	-3.70189	5.3376	4.17201	-0.123377	radar	3.19567	-7.77186	-4.08999	-7.37632	-3.5224	-2.88265	-4.21586
1477010457550000	-7.75615	-4.11445	5.29904	4.14667	-0.14197	radar	1.41134	-7.52393	-3.88213	-7.67004	-3.93992	-2.98953	-4.13012
1477010457650000	-8.04359	-4.55853	5.28977	4.13333	-0.139253	radar	0.042539	-8.08524	-4.57834	-7.97457	-4.34854	-3.09857	-4.03778
1477010457750000	-8.32775	-4.96756	5.16922	4.12356	-0.120381	radar	1.8706	-8.453	-4.95621	-8.2901	-4.74759	-3.2093	-3.93862
1477010457850000	-8.64002	-5.26043	4.99377	4.0748	-0.153072	radar	3.98426	-8.55062	-4.79248	-8.61678	-5.13637	-3.32121	-3.83242
1477010457950000	-8.95204	-5.65851	5.00277	4.05604	-0.157089	radar	0.11352	-9.04115	-5.69364	-8.95469	-5.51417	-3.43377	-3.71901
1477010458050000	-9.24179	-5.93987	4.85455	4.01698	-0.178087	radar	5.60155	-8.86897	-5.41973	-9.30388	-5.88026	-3.54643	-3.59823
1477010458150000	-9.58638	-6.31258	4.88297	3.9918	-0.18651	radar	0.738427	-9.80646	-6.41174	-9.66432	-6.23389	-3.6586	-3.46994
1477010458250000	-10.0614	-6.57264	4.94501	3.90298	-0.265111	radar	5.56442	-10.6688	-6.35543	-10.0359	-6.57431	-3.76969	-3.33404
1477010458350000	-10.414	-6.89577	4.975	3.8733	-0.270891	radar	1.14517	-10.2205	-6.71044	-10.4186	-6.90075	-3.87907	-3.19046
1477010458450000	-10.8385	-7.14574	4.98934	3.81101	-0.308411	radar	1.1571	-10.8944	-6.83335	-10.8121	-7.21245	-3.98613	-3.03916
1477010458550000	-11.2005	-7.44825	4.96064	3.78728	-0.301637	radar	0.664191	-10.986	-7.3707	-11.2161	-7.50862	-4.09021	-2.88015
