time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448050000	20.3617	12.0731	4.82375	1.52576	0.493586	radar	3.5714	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3485	12.3598	4.89004	1.56326	0.505905	lidar	1.15383	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2991	12.5979	4.85288	1.62101	0.560087	radar	3.3979	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.324	12.838	4.85008	1.63344	0.543813	lidar	1.78678	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3112	13.0691	4.83018	1.66031	0.54733	radar	2.11182	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2763	13.2832	4.79183	1.69	0.550479	lidar	1.04867	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2375	13.5176	4.79248	1.71703	0.545877	radar	1.28418	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2167	13.7765	4.82378	1.73847	0.539201	lidar	1.28206	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.161	14.0038	4.80487	1.77505	0.556701	radar	0.89255	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1055	14.2591	4.83734	1.80437	0.557639	lidar	0.351503	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0336	14.4878	4.83304	1.83631	0.560983	radar	1.39484	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.925	14.7425	4.87994	1.8796	0.575866	lidar	1.26179	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8583	14.9604	4.86199	1.89739	0.554538	radar	3.37535	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8271	15.1787	4.82655	1.90731	0.536923	lidar	2.11739	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6953	15.3889	4.80044	1.98097	0.625484	radar	8.05064	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6657	15.578	4.72454	1.98902	0.603049	lidar	3.54252	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5718	15.783	4.7094	2.01597	0.597263	radar	1.33146	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.468	15.9968	4.71326	2.04534	0.596679	lidar	0.0116028	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3665	16.2047	4.71196	2.06215	0.569393	radar	1.7959	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2569	16.3825	4.6692	2.09203	0.571692	lidar	0.694757	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1391	16.5791	4.6622	2.12185	0.574841	radar	0.27531	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0085	16.7894	4.68511	2.15081	0.574617	lidar	0.14108	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8518	16.9818	4.69807	2.20844	0.632739	radar	6.62265	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6779	17.2172	4.78805	2.24302	0.633939	lidar	1.84996	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.575	17.4208	4.77068	2.23006	0.551598	radar	6.03548	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3609	17.6127	4.83181	2.27738	0.570265	lidar	3.86981	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2248	17.8037	4.82273	2.28179	0.523888	radar	2.44341	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0925	17.9895	4.80533	2.29872	0.514936	lidar	0.90525	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9171	18.1448	4.79043	2.3409	0.543863	radar	1.9358	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7855	18.2873	4.72151	2.36272	0.539733	lidar	1.08874	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6524	18.4682	4.70539	2.37016	0.512516	radar	6.69703	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4573	18.6497	4.75325	2.39829	0.514186	lidar	0.492803	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.277	18.7911	4.73771	2.43261	0.528823	radar	1.73544	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1154	18.9275	4.69903	2.45723	0.52764	lidar	0.322279	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9482	19.0978	4.70676	2.46931	0.506991	radar	3.07599	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.731	19.2135	4.70932	2.50963	0.52197	lidar	2.68626	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.541	19.3669	4.72718	2.53312	0.522255	radar	3.2404	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3156	19.5281	4.79151	2.55887	0.520783	lidar	0.870149	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0929	19.6118	4.77306	2.60862	0.554779	radar	10.0555	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8874	19.7558	4.79692	2.62896	0.546933	lidar	0.776498	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6989	19.8799	4.76761	2.63523	0.505571	radar	3.24917	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4677	20.0329	4.83187	2.65336	0.497183	lidar	1.36396	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2562	20.175	4.85431	2.66465	0.477602	radar	5.71521	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0674	20.3062	4.83895	2.67653	0.465898	lidar	1.87822	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8372	20.3893	4.83851	2.71298	0.484957	radar	2.10431	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6214	20.5083	4.84959	2.72986	0.477431	lidar	0.644603	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3846	20.596	4.8685	2.76493	0.498842	radar	1.26666	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1382	20.6703	4.88401	2.7968	0.505509	lidar	0.715599	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9009	20.7422	4.89358	2.83133	0.523569	radar	0.378022	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.627	20.8063	4.94276	2.86565	0.530836	lidar	1.71547	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3781	20.8381	4.95185	2.91721	0.576095	radar	2.4637	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1325	20.8796	4.95023	2.94978	0.579898	lidar	0.167074	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9	20.9381	4.94259	2.97184	0.571899	radar	1.75739	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.701	20.9817	4.88173	2.99428	0.567161	lidar	1.94249	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4476	21.0225	4.90624	3.02253	0.569322	radar	2.56857	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2013	21.0598	4.91571	3.04714	0.565185	lidar	0.138229	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9621	21.0797	4.91366	3.07825	0.573298	radar	0.971994	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.72	21.0507	4.89133	3.12134	0.588508	lidar	1.93105	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4723	21.0374	4.89197	3.15691	0.595887	radar	1.09442	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2572	21.0306	4.84884	3.1857	0.596031	lidar	0.700854	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0023	20.9924	4.86266	3.22526	0.60682	radar	4.15964	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7929	20.9541	4.81058	3.26084	0.613677	lidar	0.611708	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5455	20.9521	4.7984	3.26823	0.57084	radar	5.53303	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2649	20.9792	4.87373	3.27306	0.544062	lidar	3.36834	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0264	20.9605	4.86848	3.29258	0.533784	radar	1.02265	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83339	20.9207	4.79822	3.32134	0.537803	lidar	1.6746	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60105	20.9108	4.76159	3.322	0.491519	radar	2.40997	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40838	20.8582	4.70026	3.35177	0.498416	lidar	1.00684	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18813	20.8164	4.6885	3.374	0.496611	radar	1.47267	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8947	20.7849	4.78663	3.3841	0.479101	lidar	2.29372	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68077	20.7057	4.76482	3.4181	0.491961	radar	4.40564	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40393	20.6221	4.83834	3.44403	0.491768	lidar	2.79695	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17574	20.5422	4.84178	3.47253	0.498493	radar	0.081307	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.933	20.4622	4.86364	3.49527	0.495752	lidar	0.135292	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71693	20.3762	4.86743	3.52726	0.512806	radar	3.4625	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40762	20.3182	4.98432	3.52819	0.484553	lidar	3.51766	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17608	20.2217	4.98118	3.55019	0.479323	radar	0.229327	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91105	20.139	5.031	3.56174	0.465349	lidar	0.704114	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.68633	20.0473	5.01273	3.57791	0.45399	radar	0.511045	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43801	19.956	5.03968	3.59095	0.443402	lidar	0.346178	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22163	19.8624	5.02003	3.60821	0.438618	radar	2.86739	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.95826	19.7689	5.06981	3.61553	0.422457	lidar	0.822496	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72815	19.6238	5.11316	3.65233	0.449409	radar	1.9025	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55186	19.501	5.04769	3.68169	0.457805	lidar	1.39966	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35024	19.3521	5.04252	3.71441	0.470655	radar	1.74745	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13716	19.2504	5.02891	3.72495	0.457331	lidar	1.94924	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
